Link Text,URL
计算机科学,https://dblp.uni-trier.de/db/journals/jsjkx/
3-D Information Modeling; International Journal of  ... (IJ3DIM),https://dblp.uni-trier.de/db/journals/ij3dim/
4OR: Quarterly Journal of Operations Research,https://dblp.uni-trier.de/db/journals/4or/
AAIML - Advances in Artificial Intelligence and Machine Learning,https://dblp.uni-trier.de/db/journals/aaiml/
Access; IEEE  ...,https://dblp.uni-trier.de/db/journals/access/
Accessibility and Computing; ACM SIGACCESS  ...,https://dblp.uni-trier.de/db/journals/sigaccess/
Accessible Computing; ACM Transactions on  ... (TACCESS),https://dblp.uni-trier.de/db/journals/taccess/
"Accounting, Finance and Management; Intelligent Systems in  ...",https://dblp.uni-trier.de/db/journals/isafm/
ACI - Applied Clinical Informatics,https://dblp.uni-trier.de/db/journals/aci/
ACIS International Journal of Computer & Information Science,https://dblp.uni-trier.de/db/journals/acisj/
ACM Communications in Computer Algebra,https://dblp.uni-trier.de/db/journals/cca/
ACM Computing Surveys,https://dblp.uni-trier.de/db/journals/csur/
ACM/IMS Transactions on Data Science (TDS),https://dblp.uni-trier.de/db/journals/tdasci/
ACM Inroads,https://dblp.uni-trier.de/db/journals/inroads/
ACM Journal of Computer Documentation (JCD),https://dblp.uni-trier.de/db/journals/jcd/
ACM Journal of Experimental Algorithmics (JEA),https://dblp.uni-trier.de/db/journals/jea/
ACM Journal on Computing and Cultural Heritage,https://dblp.uni-trier.de/db/journals/jocch/
ACM Journal on Emerging Technologies in Computing Systems,https://dblp.uni-trier.de/db/journals/jetc/
ACM Letters on Programming Languages and Systems (LOPLAS),https://dblp.uni-trier.de/db/journals/loplas/
ACM on Computer Graphics and Interactive Techniques; Proceedings of the  ...,https://dblp.uni-trier.de/db/journals/pacmcgit/
"ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies; Proceedings of the  ... (IMWUT)",https://dblp.uni-trier.de/db/journals/imwut/
ACM on Measurement and Analysis of Computing Systems; Proceedings of the  ... (POMACS),https://dblp.uni-trier.de/db/journals/pomacs/
ACM Queue,https://dblp.uni-trier.de/db/journals/queue/
ACM SIGACCESS Accessibility and Computing,https://dblp.uni-trier.de/db/journals/sigaccess/
ACM SIGAPL APL Quote Quad,https://dblp.uni-trier.de/db/journals/sigapl/
ACM SIGCHI Bulletin,https://dblp.uni-trier.de/db/journals/sigchi/
(ACM SIGCOMM); Computer Communication Review  ...,https://dblp.uni-trier.de/db/journals/ccr/
ACM SIGCSE Bulletin,https://dblp.uni-trier.de/db/journals/sigcse/
ACM SIGLOG News,https://dblp.uni-trier.de/db/journals/siglog/
ACM SIGMIS Database,https://dblp.uni-trier.de/db/journals/db/
ACM SIGMOD Digital Review,https://dblp.uni-trier.de/db/journals/dr/
ACM SIGMOD Digital Symposium Collection,https://dblp.uni-trier.de/db/journals/disc/
ACM SIGOPS: Operating Systems Review,https://dblp.uni-trier.de/db/journals/sigops/
ACM SIGPLAN Notices,https://dblp.uni-trier.de/db/journals/sigplan/
ACM SIGPLAN OOPS Messenger,https://dblp.uni-trier.de/db/journals/oopsm/
ACM SIGSOFT Software Engineering Notes,https://dblp.uni-trier.de/db/journals/sigsoft/
ACM SIGSPATIAL Special,https://dblp.uni-trier.de/db/journals/sigspatial/
ACM StandardView,https://dblp.uni-trier.de/db/journals/standardview/
ACM Transactions on Accessible Computing (TACCESS),https://dblp.uni-trier.de/db/journals/taccess/
ACM Transactions on Algorithms (TALG),https://dblp.uni-trier.de/db/journals/talg/
ACM Transactions on Applied Perception (TAP),https://dblp.uni-trier.de/db/journals/tap/
ACM Transactions on Architecture and Code Optimization (TACO),https://dblp.uni-trier.de/db/journals/taco/
ACM Transactions on Asian and Low-Resource Language Information Processing,https://dblp.uni-trier.de/db/journals/talip/
ACM Transactions on Autonomous and Adaptive Systems (TAAS),https://dblp.uni-trier.de/db/journals/taas/
ACM Transactions on Computation Theory (ToCT),https://dblp.uni-trier.de/db/journals/toct/
ACM Transactions on Computational Logic (TOCL),https://dblp.uni-trier.de/db/journals/tocl/
